,name,acc_mean,acc_std,prec_macro_mean,prec_macro_std,best_f1_macro_mean,best_f1_macro_std,last_f1_macro_mean,last_f1_macro_std
3,id224x336,0.5302042245864869,0.01529632120327691,0.5250649148740704,0.018379406454515995,0.5152977657137585,0.016560065287972766,0.5032724279460302,0.012275057750214672
2,id256x384,0.5154156148433685,0.02109389520015086,0.5041687914297848,0.022115507895759837,0.49263370946665824,0.024868926378978112,0.4848549065260152,0.024319455232046074
1,id336x224,0.4612095534801483,0.1208446911274093,0.46871081497935163,0.0811179617237817,0.4922252068134161,0.01247704388053014,0.4256487903843613,0.12862334582408258
0,id384x256,0.5195122480392456,0.019122678396314673,0.5094559712727034,0.03430076106968017,0.49084914520156514,0.02365484890228718,0.48275792494506975,0.027319118251566032
