index,name,dropout,use_bn,dense_act,loss_mean,loss_std,acc_mean,acc_std,prec_macro_mean,prec_macro_std,best_f1_macro_mean,best_f1_macro_std,last_f1_macro_mean,last_f1_macro_std
0,gelu_bn,0.0,True,gelu,1.8649988412857055,0.15515652410345238,0.5645669937133789,0.017756265195930557,0.48133160555359356,0.023844721763711253,0.46163232068901217,0.028149801042259254,0.4511146533260523,0.027171134943572598
1,relu_do01,0.1,False,relu,3.9076958179473875,0.5471797381135346,0.5021240413188934,0.023737458632375592,0.419378826595291,0.036211077822712955,0.41600893133471867,0.0290151754400708,0.38426378580984477,0.031192749858060278
2,relu,0.0,False,relu,4.630216646194458,1.0029524402526084,0.4919275462627411,0.027809523856685458,0.3949596287081182,0.05134131583504059,0.39965986104389223,0.04552255747577471,0.37097846351912,0.03669327350634685
3,gelu,0.0,False,gelu,4.273464107513428,0.7090679104362861,0.47961422204971316,0.021233638042450296,0.3811752856818133,0.02036144809263388,0.3953641750353128,0.013834690456368476,0.36155251796732574,0.022828797431614176
4,gelu_do03_bn,0.3,True,gelu,1.9823371410369872,0.4890804394556738,0.5463070750236512,0.019874758647789932,0.4727411881000644,0.0379828351559905,0.45470754674200575,0.030326644280304897,0.42051945510892424,0.06260980257084184
5,gelu_do05_bn,0.5,True,gelu,1.9670907735824585,0.35194105059987785,0.434612637758255,0.11148716399563095,0.4716404510275539,0.04631412098887172,0.4353652172214244,0.03211558504439185,0.37006042792510124,0.08159602659441087
6,gelu_do03,0.3,False,gelu,2.746052932739258,0.7223905447201189,0.5008492529392242,0.01978512634521829,0.4134276959362685,0.031869744683931896,0.41244061524909137,0.042156708615592633,0.3808486558369794,0.032509661364082613
7,gelu_do05,0.5,False,gelu,1.929656720161438,0.3225808884047529,0.42312960624694823,0.08322868285454227,0.314458028023236,0.14856762672776513,0.3060350525542271,0.11154863891094073,0.27231437265532477,0.11715235974450676
